City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
Mandalgovi,45.7625,106.2708,6.37,54,2,4.27,MN,clear sky
Harper,4.375,-7.7169,78.85,81,14,7.78,LR,few clouds
Rikitea,-23.1203,-134.9692,77.34,80,100,14.56,PF,overcast clouds
Hilo,19.7297,-155.09,84.11,70,20,10.36,US,few clouds
Chekmagush,55.1319,54.6556,34.25,97,100,15.75,RU,light snow
Kruisfontein,-34.0033,24.7314,64.89,83,36,2.06,ZA,scattered clouds
Kapaa,22.0752,-159.319,75.18,89,100,16.11,US,heavy intensity rain
Kuala Lipis,4.1842,102.0468,71.37,99,98,0.56,MY,moderate rain
Punta Arenas,-53.15,-70.9167,55.11,47,75,20.71,CL,broken clouds
Hobart,-42.8794,147.3294,62.28,65,75,8.05,AU,broken clouds
Baringo,0.4667,35.9667,70.48,58,50,3.76,KE,scattered clouds
Port Alfred,-33.5906,26.891,59.18,95,7,4.07,ZA,clear sky
Port Elizabeth,-33.918,25.5701,67.1,90,50,2.35,ZA,scattered clouds
Merauke,-8.4667,140.3333,79.57,84,100,5.06,ID,overcast clouds
Sohbatpur,28.5202,68.5434,61.65,22,15,5.46,PK,few clouds
Chuy,-33.6971,-53.4616,66.88,70,22,14.79,UY,few clouds
Provideniya,64.3833,-173.3,28.51,64,75,17.9,RU,broken clouds
Paamiut,61.994,-49.6678,16.77,57,17,10.85,GL,few clouds
Saskylakh,71.9167,114.0833,-45.51,100,66,3.42,RU,broken clouds
Guerrero Negro,27.9769,-114.0611,64.98,45,2,11.88,MX,clear sky
Oranjemund,-28.55,16.4333,64.44,92,20,8.05,NA,few clouds
La Ronge,55.1001,-105.2842,-5.55,88,100,9.24,CA,overcast clouds
Thompson,55.7435,-97.8558,-9.72,89,100,6.13,CA,overcast clouds
Bluff,-46.6,168.3333,59.81,75,79,10.71,NZ,broken clouds
Ribeira Grande,38.5167,-28.7,63.0,82,40,21.85,PT,light rain
Raudeberg,61.9875,5.1352,36.27,68,100,13.38,NO,overcast clouds
Esperance,-33.8667,121.9,62.2,76,0,9.1,AU,clear sky
Hithadhoo,-0.6,73.0833,80.87,73,71,9.15,MV,broken clouds
Chuka,-0.3332,37.6459,60.76,76,34,4.16,KE,scattered clouds
Constitucion,-35.3333,-72.4167,61.56,73,16,13.22,CL,few clouds
Mataura,-46.1927,168.8643,59.49,70,89,3.51,NZ,overcast clouds
Baijiantan,45.6333,85.1833,5.67,92,48,6.08,CN,scattered clouds
New Norfolk,-42.7826,147.0587,61.92,51,2,1.99,AU,clear sky
