City,Country,Max Temp,Description,Lat,Lng,Hotel Name
Harper,LR,78.85,few clouds,4.375,-7.7169,Screensaver
Rikitea,PF,77.34,overcast clouds,-23.1203,-134.9692,People ThankYou
Kruisfontein,ZA,64.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
Kapaa,US,75.18,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Kuala Lipis,MY,71.37,moderate rain,4.1842,102.0468,Lipis Centrepoint Hotel
Hobart,AU,62.28,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
Baringo,KE,70.48,scattered clouds,0.4667,35.9667,Khoisang Hostels
Port Elizabeth,ZA,67.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
Sohbatpur,PK,61.65,few clouds,28.5202,68.5434,Allu Hotel
Chuy,UY,66.88,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
Guerrero Negro,MX,64.98,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
Oranjemund,,64.44,few clouds,-28.55,16.4333,The Fisherman's Cove
Ribeira Grande,PT,63.0,light rain,38.5167,-28.7,Quinta da Meia Eira
Esperance,AU,62.2,clear sky,-33.8667,121.9,Hospitality Esperance
Chuka,KE,60.76,scattered clouds,-0.3332,37.6459,Mountain Breeze Guest House
Constitucion,CL,61.56,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
New Norfolk,AU,61.92,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
Axim,GH,79.2,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
Mersing,MY,76.39,light rain,2.4312,103.8405,Riverside Hotel
Teahupoo,PF,78.76,overcast clouds,-17.8333,-149.2667,Vanira Lodge
Atuona,PF,78.28,broken clouds,-9.8,-139.0333,Villa Enata
Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Opuwo,,65.61,scattered clouds,-18.0607,13.84,ABBA Guesthouse
Zaraza,VE,75.52,overcast clouds,9.3503,-65.3245,Hotel Zaraza
Kassala,SD,73.99,clear sky,15.451,36.4,Amassi Hotel Gash
Caravelas,BR,74.55,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
Padang,ID,73.45,broken clouds,-0.9492,100.3543,Mercure Padang
Arraial Do Cabo,BR,73.78,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
Busselton,AU,69.62,clear sky,-33.65,115.3333,Observatory Guest House
Uige,AO,65.75,overcast clouds,-7.6087,15.0613,Hotel Catraio
Port Hedland,AU,78.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
Sao Felix Do Xingu,BR,73.17,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
Bengkulu,ID,74.53,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Cape Town,ZA,70.38,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
Bredasdorp,ZA,65.71,broken clouds,-34.5322,20.0403,Wheatlands Lodge - Bredasdorp
Kariba,ZW,72.63,light rain,-16.5167,28.8,Caribbea Bay Hotel
Mar Del Plata,AR,69.84,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
Sao Joao Da Barra,BR,73.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
Goianapolis,BR,70.88,scattered clouds,-16.5106,-49.0239,Hotel Tomatão
Georgetown,MY,79.23,few clouds,5.4112,100.3354,Cititel Penang
Jaciara,BR,77.72,heavy intensity rain,-15.9653,-54.9683,Taba Hotel
Gorontalo,ID,75.24,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
Kainantu,PG,67.86,broken clouds,-6.2887,145.8655,Kainantu Lodge
Turiacu,BR,76.03,broken clouds,-1.6633,-45.3717,Pousada Maranata
San Luis,AR,79.72,few clouds,-33.295,-66.3356,Huarpes Hotel
Christchurch,NZ,61.41,broken clouds,-43.5333,172.6333,The George
Puerto Ayora,EC,74.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Castro,BR,61.12,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
Luderitz,,65.44,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
Matara,LK,74.37,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
Barcarena,BR,78.85,moderate rain,-1.5058,-48.6258,Dos Santos Hotel
Sinnamary,GF,77.2,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
Karratha,AU,77.59,few clouds,-20.7377,116.8463,ibis Styles Karratha
San Patricio,US,60.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
Ponta Delgada,PT,63.5,moderate rain,37.7333,-25.6667,Vila Nova Hotel
Pontes E Lacerda,BR,71.71,heavy intensity rain,-15.2261,-59.3353,Hotel Bressan
Kahului,US,71.83,heavy intensity rain,20.8947,-156.47,Maui Seaside Hotel
Piacabucu,BR,77.32,broken clouds,-10.4056,-36.4344,Piaçabuçu News
Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,Le four à pain
Seddon,AU,68.61,clear sky,-37.8068,144.8916,Footscray Motor Inn
Katima Mulilo,,69.98,overcast clouds,-17.5,24.2667,Protea by Marriott Hotel Zambezi River Lodge
Hermanus,ZA,66.79,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
Ranot,TH,78.39,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
Carnarvon,AU,78.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
Praia Da Vitoria,PT,60.76,light rain,38.7333,-27.0667,Hotel Branco I
Nabire,ID,77.63,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
Dingle,PH,75.4,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
Dzilam Gonzalez,MX,77.61,light rain,21.2833,-88.9333,posadas
Morro Bay,US,64.26,clear sky,35.3658,-120.8499,Inn at Morro Bay
Necochea,AR,73.15,scattered clouds,-38.5473,-58.7368,Hotel Tres Arroyos
Lujan,AR,76.95,scattered clouds,-34.5703,-59.105,Hotel Biarritz
Broken Hill,AU,75.88,broken clouds,-31.95,141.4333,Royal Exchange Hotel
Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
East London,ZA,67.19,broken clouds,-33.0153,27.9116,Tu Casa
Hipona,PH,75.13,overcast clouds,11.4174,122.8825,Maribert Inland Resort
Kankon,IN,75.0,broken clouds,15.0167,74.0167,Palolem Beach Resort
Tabou,CI,79.11,few clouds,4.423,-7.3528,hotêl doufoulougou
Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
Mahanje,TZ,68.43,light rain,-9.9333,35.3333,Amani social Hall
Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
Lompoc,US,67.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Banda Aceh,ID,75.6,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
Presidencia Roque Saenz Pena,AR,77.83,clear sky,-26.7852,-60.4388,Hotel Gualok
Bhag,PK,62.38,clear sky,29.0415,67.8239,Bukhari hotl
Asosa,ET,65.53,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
Salinopolis,BR,78.93,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
Bom Jesus,BR,77.59,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
Pau Brasil,BR,72.14,moderate rain,-15.4642,-39.6511,Tina Hotel
Sinjai,ID,76.68,overcast clouds,-5.1241,120.253,Wisma Sandika
